Compound,mz,rt,UM1850B_ANGDT_0.25_mL_36_1_4792,UM1850B_ANGDT_0.25_mL_36_1_4802,UM1850B_ANGDT_0.25_mL_36_1_4815,UM1852B_Coculture_42_1_4685,UM1852B_Coculture_42_1_4695,UM1852B_Coculture_42_1_4709,UM1852B_Coculture_42_1_4785,UM1850B_ANGDT_48_1_4782,UM1850B_ANGDT_48_1_4794,UM1850B_ANGDT_48_1_4823,UM1852B_Coculture_0.25mgml_19_1_4812,UM1852B_Coculture_0.25mgml_19_1_4819,UM1852B_Coculture_0.25mgml_19_2_4820
5842,568.307978,162.73,0,0,0,0,0,0,0,0,0,0,0,0,0
4094,508.264578,138.98,0,0,0,0,0,0,0,0,0,0,0,0,0
10386,521.328938,243.95,792.89,740.52,765.44,0,0,0,0,2912.9,2603.94,2452.37,687,507.62,500.61
10389,662.315238,244.98,0,0,0,0,0,0,0,0,0,0,0,0,0
11274,416.248658,415,0,0,0,0,0,0,0,1048.46,1109.93,1246.96,0,0,0
11634,409.315238,491.28,0,0,0,13962.47,11616.92,9958.07,0,0,0,0,0,0,0
3702,309.193658,131.77,0,0,0,0,0,0,0,723.04,618.62,753.97,0,0,0
9301,388.223978,214.64,0,0,0,1452.93,1690.72,1475.31,0,0,0,0,0,0,0
3385,400.162558,58.5,0,0,0,565.94,674.82,673.1,0,0,0,0,0,0,0
11418,649.448268,449.81,709.62,1029.28,621.59,0,0,0,0,1861.54,1551.9,1130.25,1072.23,845.43,743.33
11348,551.354568,429.76,1707.87,1719.88,1768.94,0,0,0,0,5905.76,6142.41,6681.04,1589.15,1590.71,1513.42
7008,543.955512666667,178.94,0,0,0,4621.27,4710.84,4570.5,0,0,0,0,0,0,0
8317,685.031056,197.65,0,0,0,0,0,0,0,0,0,0,748.92,1065.73,900.56
4351,590.298362666667,141.28,0,0,0,16793.63,18274.44,18522.95,0,0,0,0,0,0,0
675,595.665189333333,156.45,0,0,0,0,0,0,0,0,0,0,0,0,0
4839,442.220059333333,148.09,0,0,0,0,0,0,0,0,0,0,0,0,0
421,460.627822666667,141.04,0,0,0,0,0,0,0,2332.05,2582.93,2088.66,0,0,0
1065,685.016652666667,184.4,0,0,0,0,0,0,0,0,0,0,0,0,0
483,620.634209333333,143.72,0,0,0,1880.77,0,2151.63,0,0,0,0,0,0,0
